"idx","Title of the Solution","Description of the solution","Links to the solution","SDG(s)","Tags for the solution","Type of the Solution","Who lead the solution","Location","Other Notes","Images"
"91","BCA Roof Garden","The BCA Roof Garden in Singapore is a community-led rooftop garden that provides fresh produce for the local community. The garden also includes a rainwater harvesting system and is designed to promote biodiversity and reduce the urban heat island effect.","https://www.nparks.gov.sg/-/media/nparks-real-content/gardening/community-in-bloom/bca-roof-garden/bca-roof-garden-factsheet.pdf","2,6,11","Zero Hunger, Clean Water and Sanitation, Sustainable Cities and Communities","Passive Cooling System","Community Led","Singapore","","https://acclabplatforms.blob.core.windows.net/pads/media/image117.png"
"92","The Solaire Green Roof","The Solaire Green Roof in New York City is a private sector-led green roof that helps reduce the urban heat island effect and stormwater runoff. The roof also includes solar panels that provide renewable energy for the building.","https://inhabitat.com/solaire-building-green-roof/","7,11","Affordable and Clean Energy, Sustainable Cities and Communities","Passive Cooling System","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image118.png"
"93","Kensington Roof Gardens","The Kensington Roof Gardens in London are a 1.5-acre rooftop garden with over 500 species of plants, including trees, shrubs, and flowers. The gardens are designed to provide insulation and reduce the urban heat island effect.","https://www.virginlimitededition.com/en/the-roof-gardens/history","11","Affordable and Clean Energy, Sustainable Cities and Communities","Passive Cooling System","Private Sector Led","United Kingdom","","https://acclabplatforms.blob.core.windows.net/pads/media/image119.png"
"94","Boston City Hall Green Roof","Boston City Hall's green roof is a 2.5-acre park that includes a mixture of sedum, grasses, and wildflowers. The plants help insulate the building and retain stormwater runoff.","https://www.boston.gov/departments/parks-and-recreation/boston-city-hall-plaza-renovation","6,11","Clean Water and Sanitation, Sustainable Cities and Communities","Passive Cooling System","Communiyt Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image120.png"
"95","Jaipur Pavement","A pavement made of a mixture of crushed stone and a special binder that cools the surface by absorbing water and dissipating heat through evaporation.","https://www.thebetterindia.com/85832/jaipur-pavement-cool-surface-heat-relief/","3","Good Health and Well Being","Passive Cooling System","Communiyt Led","India","","https://acclabplatforms.blob.core.windows.net/pads/media/image121.png"
"96","Solar Chimneys for Sustainable Cooling","A solar chimney is a passive ventilation system that utilizes solar energy to enhance natural ventilation. It is typically a tall vertical shaft with a glass roof that captures solar energy and heats the air inside, causing it to rise and draw cool air in from below. The rising warm air creates a natural convection current that ventilates and cools the building.","https://www.sciencedirect.com/science/article/pii/S1876610218325303","7,9","Affordable and Clean Energy, Industry Innovation and Infrastructure","Passive Cooling System","Local Government","United Arab Emirates","","https://acclabplatforms.blob.core.windows.net/pads/media/image122.png"
"97","Misting Systems","High-pressure water misting systems that operate with a cooling effect by rapidly evaporating fine water droplets into the air, resulting in lower temperatures.","https://www.cool-off.com/","6,7,13","Clean Water and Sanitation, Affordable and Clean Energy, Climate Action","Mechanical Cooling Systems","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image123.png"
"98","Roof Sprinklers","Water is sprayed on the roof of the building to lower the roof temperature, which in turn lowers the overall temperature of the building.","https://www.researchgate.net/publication/328426570_Roof_Sprinkler_Systems_for_Building_Cooling_An_Overview","7,11,13","Affordable and Clean Energy, Sustainable Cities and Communities, Climate Action","Passive Cooling System","Private Sector Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image124.png"
"99","Evaporative Coolers","Also known as swamp coolers, they work by passing hot, dry air through a wet medium, resulting in the evaporation of water and the cooling of the air.","https://www.homedepot.com/c/ab/what-is-an-evaporative-cooler/9ba683603be9fa5395fab9090a5b46c","7,11,13","Affordable and Clean Energy, Sustainable Cities and Communities, Climate Action","Mechanical Cooling Systems","Private Sector Led","Australia","","https://acclabplatforms.blob.core.windows.net/pads/media/image125.png"
"100","Misting Tents","Use the process of evaporation to cool the air, by passing water over a pad, which cools the air as it passes through","https://www.arcticbreeze.com.au/evaporative-coolers/","7,13","Affordable and Clean Energy, Climate action","Mechanical Cooling Systems","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image126.png"
"101","Misting Systems for Greenhouses","Used to cool and humidify greenhouses, these systems can help improve plant growth and yield","https://www.growspan.com/products/greenhouse-accessories/misting-systems/","2,7","Zero Hunger, Affordable and Clean Energy","Mechanical Cooling Systems","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image127.png"
"102","Misting Pedestals","Free-standing misting systems that can be placed around outdoor areas, such as patios, to provide a cool and comfortable environment","https://www.mistymate.com/collections/misting-pedestals","7,13","Affordable and Clean Energy, Climate action","Mechanical Cooling Systems","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image128.png"
"103","Water Misting Towers","Tall, standalone structures that use misting systems to cool the air in outdoor areas","https://www.aqua-mist.com/misting-towers","7,13","Affordable and Clean Energy, Climate action","Mechanical Cooling Systems","Private Sector Led","United Kingdom","","https://acclabplatforms.blob.core.windows.net/pads/media/image129.png"
"104","Water Mist Fire Suppression Systems","Utilize misting systems to help suppress fires, using a fine mist of water to reduce the amount of oxygen available to the fire, and help control the spread of flames","https://www.firerescue1.com/fire-products/fire-suppression-systems/articles/how-water-mist-systems-work-and-why-you-should-use-them-WYUgj6U9p6DkmzIW/","11,13","Sustainable Cities and Communities, Climate Action","Mechanical Cooling Systems","Private Sector Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image130.png"
"105","Misting Fans","Similar to misting systems, but instead of a stationary nozzle, the misting mechanism is attached to a fan, which spreads the mist around the area, creating a cooling effect","https://www.cool-off.com/misting-fans","7,13","Affordable and Clean Energy, Climate action","Mechanical Cooling Systems","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image131.png"
"106","District Cooling","Central cooling plants contain large industrial equipment that produces chilled water. This water is used for “free cooling” and is directed to buildings through an insulated underground piping network. When the water enters the building, it flows through a heat exchanger, absorbing heat from the building space. The water is then recirculated back to the central plant through a closed loop piping system. The district cooling system is an effective and sustainable solution for cooling with energy optimization in the Kingdom of Saudi Arabia.","https://www.sauditabreed.com/en/category/overview","7","Sustainable District Cooling Solution
","Infrastructural","Local Government","Saudi Arabia, Riyadh, Dhahran, Makkah, Jubail","Saudi Tabreed District Cooling Company. Saudi Tabreed is working in close collaboration with government entities in the Kingdom of Saudi Arabia and across the Gulf Cooperation Council (GCC), with a focus on developing District Cooling.","https://acclabplatforms.blob.core.windows.net/pads/media/image132.jpeg"
"107","District Cooling","The district cooling system is an effective and sustainable solution for cooling with energy optimization in the United Arab Emirates. The chilled water is delivered to the destination via an underground insulated pipeline and the output of one cooling plant is enough to meet the cooling-energy demand of dozens of buildings. District cooling can be run on electricity or natural gas, and can use either regular water or seawater. Along with electricity and water, district cooling constitute a new form of energy service.","https://www.youtube.com/watch?v=Yyi71sVed7k","7","Sustainable District Cooling Solution
","Infrastructural","Local Government","Dubai, UAE","Emirates Central Cooling Systems Corporation (EMPOWER)
Empower is Part of Dubai Government. 
The Company providing district Cooling to all Dubai Holdings Projects.","https://acclabplatforms.blob.core.windows.net/pads/media/image133.png"
"108","Passive Cooling","Innovative strategies at the Universidade Agostinho Neto 
were employed to promote natural ventilation and 
passive cooling in all buildings with the exception of the 
library which is located underground. Landscape was 
advantageous and trees were arranged in a linear order 
to create a tunnel through which prevailing winds would 
blow from the southwest. Even the positioning of these windows can have passive cooling effects through cross-ventilation, or the aligning of windows to facilitate air circulation. Notable examples of cross-ventilation include Louisiana shotgun houses, which minimize interior walls that may obstruct horizontal drafts.  ","https://www.archidatum.com/projects/universidade-agostinho-neto-perkins-plus-will-architects","9","Natural ventilation, Passive cooling","Innovative","Local Government 
","Luanda, Angola","Universidade Agostinho Note
The classrooms of UAN are arranged in a grid such that they are angled 19 degrees off the north/south axis thus assuming the ideal orientation to maximize in natural lighting as well as natural ventilation. The roofs of the classrooms are designed with natural ventilation in mind, calibrated through computer dynamics to minimize solar gain as well as maximizing pressure differences to draw breezes through the classrooms. Invented by Perkins+Will Architects.","https://acclabplatforms.blob.core.windows.net/pads/media/image134.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image135.jpeg"
"109","Ventilated Glass Facade Systems","Ventilated Glass Facade Systems protect structures and 
occupants from wind-driven rain and ice while 
maintaining natural ventilation and daylight advantages. 
Ideal for non-conditioned spaces including stadiums, 
transit stations, building crowns, elevator towers, 
pedestrian bridges.","https://langleglas.com/en/projects/museum-katowice","9","Glass Innovation, Design Innovation, Natural ventilation technology","Innovative","Local Government"," Katowice, Poland ","Silesian Museum - Technology of Längle Glas-System
","https://acclabplatforms.blob.core.windows.net/pads/media/image136.png"
"110","Cool Pavements","Using paving materials on sidewalks, parking lots and 
streets that remain cooler than conventional 
pavements, by reflecting more solar energy and 
enhancing water evaporation, not only cools the 
pavement surface and surrounding air but can also 
reduce stormwater runoff and Reflective pavements can enhance visibility at night this could reduce lighting requirements.","https://www.phoenix.gov/streets/coolpavement","11","Cooling Materials, Improvement of air quality, Design Innovation","Infrastructural","Local Government","Phoenix, USA","Phoenix City Government
Cities such as Phoenix and Los Angeles have been using cool pavement in their neighborhood streets and have reported positive results in reducing roadway surface temperatures.","https://acclabplatforms.blob.core.windows.net/pads/media/image137.png"
"111","Sponge Cities","A sponge city, according to Chinese guidelines is one 
that has transformed hard surfaces, such as roads 
and pavements into permeable surfaces that can absorb, seep, purify and store water and later release 
stored water for use.
Sponge cities allow urban areas to absorb water in times of high rainfall and release it in times of drought. These concepts could be used in cities across the world to combat flooding, absorb carbon dioxide, increase animal and plant life, and expand green spaces.

","https://reasonstobecheerful.world/sponge-cities-china-climate-change-resilience/","9, 13","Innovating permeable materials, Efficient drainage system","Infrastructural","Local Government"," Beijing, China; Tianjin, China; Wuhan, China; Shenzhen, China","Ministry of Housing and Urban-Rural Development 
Zhungai a city of 2.4 million in the Guangdong-HongKong-Macao Greater Bay Area is part of a pilot project in China promoting sponge cities.
After achieving success in China, the sponge city model has attracted over-exposed climate zones such as Dhaka and Kenya, as well as major cities like Berlin and Los Angeles.","https://acclabplatforms.blob.core.windows.net/pads/media/image138.png,https://acclabplatforms.blob.core.windows.net/pads/media/image139.png,https://acclabplatforms.blob.core.windows.net/pads/media/image140.jpeg"
"112","Electrical Demand Reduction Policies","The Japanese governments efforts to reduce electrical demand included a “Super Cool Biz” campaign to encourage ending dress codes calling for jackets and ties and wearing light, cool clothing instead. The Government also set manufacturing standards. Japan with their Top runner Program, tax credits to stimulate innovative technology and comprehensive labeling programs like the Leadership in Energy and Environmental Design (LEED) rating system developed by US. Green Building Council addressed elements of air conditioning beyond the energy efficiency covered by the federal Energy Star ratings.","https://www.jstor.org/stable/26189398","13","Conducting Campaigns, Electricity savings, Change management
","Innovative","Local Government","Tokyo, Japan","Government of Japan","https://acclabplatforms.blob.core.windows.net/pads/media/image141.png"
"113","Using Propane as a refrigerant","New study found that switching to propane as a refrigerant could lessen the global temperature increase from space cooling, meaning that we could avoid a 0.09°C increase in global temperature by the end of the century, making a significant contribution toward keeping the global temperature rise below 1.5 °C.","https://www.weforum.org/agenda/2022/08/ways-to-cool-cities-and-avoid-urban-heat-islands","7, 13","Innovative Refrigerator, Manufacturing Propane Gas, Efficient substance","Technological","Local Government","Singapore","Government of Singapore","https://acclabplatforms.blob.core.windows.net/pads/media/image142.png,https://acclabplatforms.blob.core.windows.net/pads/media/image143.png"
"114","Phase Change Materials (PCMs)","Phase change material (PCM) utilise air temperature between night and day. In the daytime, incoming external air is cooled by the PCM-storage module, which absorbs and stores its heat by changing its phase state, e.g solid to liquid. At night-time the substance reverts to solid form, releasing its heat by being cooled by the now cooler external air.","https://www.sciencedirect.com/science/article/abs/pii/S2213138822008244","9, 13","Clean Energy, Energy Efficiency, Increase of the air quality","Innovative technology","Local Government","Chennai,India;  Bangalore, India; Pune, India; Jaipur,India;  New Delhi, India ","Phase Change Solutions, Inc. 
Application in the cities in the three hot climates of India, Jaisalmer, Calcutta and Delhi. ","https://acclabplatforms.blob.core.windows.net/pads/media/image144.png"
"115","Air Curtains","Air Curtains are implemented At the Nur-Sultan Grand Mosque.
An air curtain is a fan-powered device that creates an invisible air barrier over the doorway to separate efficiently two different spaces at different temperatures without limiting the access of the people.","https://www.activeairgroup.com/nur-sultan-grand-mosque","9, 13","Design Innovation, Efficient HVAC-technology, Energy Efficiency","Technological","Local Government","Astana, Kazakhstan ","ActiveAir Group","https://acclabplatforms.blob.core.windows.net/pads/media/image145.jpeg"
"116","Deep Water Source Cooling","It is a system in which cool water is pumped from a five-kilometer depth in Lake Ontario to participating office buildings and through metal coils. Fans blow the coils, into the buildings climate-control systems, reducing their energy demands. Although mostly used in cooler climates, it is also being explored in warmer areas.","https://en.wikipedia.org/wiki/Deep_water_source_cooling","9, 13","Clean Energy, Energy Efficiency, Higher air quality","Innovative","Local Government","Toronto, Canada"," Enwave Energy Corporation - The district cooling system of Toronto has a cooling power of 59,000 tons (207 MW). The system currently has enough capacity to cool 40,000,000 square feet (3,700,000 m²) of office space.","https://acclabplatforms.blob.core.windows.net/pads/media/image146.png"
"117","Using water/fountains to cope with heat waves in cities","Building, repairing and maintaining fountains for drinking and cooling. Cooling by water spray (fountains and recreational water features, such as splash pads and spray parks). Maximising the adoption of closed water cycle for not drinking purposes. Rainwater or domestic and municipal wastewater may be re-used for cooling (e.g. wetting of streets), after proper treatment","https://climate-adapt.eea.europa.eu/en/metadata/adaptation-options/water-uses-to-cope-with-heat-waves-in-cities","6, 11
","Eco friendly cooling, Innovative, Using water for cooling, Fountain maintenance","Infrastructural","Local Government","Australia; Saudi Arabia; United States","Government","https://acclabplatforms.blob.core.windows.net/pads/media/image147.png"
"118","Recruiting Chief Heat Officers","The position emerged in the early 2020s with several cities in hot climates appointing chief heat officers to try to mitigate increasing effects of climate change and reducing urban heat island effects. They are recruited by local governments and cities.","https://en.m.wikipedia.org/wiki/Chief_Heat_Officer","9","Training, Recruitment of Chief Heat Officers, Ensuring the climate action, Reducing urban heat island effects","Security
(Ensuring heat control)","Local Government"," Los Angeles, USA, Miami-Dade County, USA;  Melbourne, Australia;  Athens, Greece;  Freetown, Sierra Leone"," Atlantic Council's Adrienne Arsht-Rockefeller Foundation ","https://acclabplatforms.blob.core.windows.net/pads/media/image148.png"
"119","Stormwater Harvesting","Stormwater harvesting can reduce urban heat island. Stormwater harvesting and water sensitive urban strategic use of water efficiency, rainwater and wastewater at multiple levels can improve the perfomance of centralised water supply systems to deliver more sustainable and affordable outcomes leading to long-run economic benefits.","https://www.orionproducts.com.au/news/how-stormwater-harvesting-can-reduce-urban-heat-island","11, 12","Innovative, Rainwater harvesting equipment","Recyclable","Local Government","Australia, Orange City, Cambodia, Battambang, Haiti, Port-au-Prince, China, Beijing, Shanghai, Xi'an, Dalian,  Thailand, Bangkok, India, Chennai, Brazil, São Paulo","Orion Australia Pty Ltd","https://acclabplatforms.blob.core.windows.net/pads/media/image149.png,https://acclabplatforms.blob.core.windows.net/pads/media/image150.png"
"120","The Global Covenant of Mayors on Climate Action","The Global Covenant of Mayors (GCoM) is the world's largest alliance of cities taking action on climate. It is a global coalition of city leaders. representing over 11,000 cities and one billion people. GCoM serves cities and local governments by mobilizing and supporting ambitious, measurable, planned climate and energy action in their communities by working with city/regional networks, national governments and other partners to achieve their vision. ","https://reliefweb.int/report/world/beating-heat-sustainable-cooling-handbook-cities","9","Embedding global climate groups, Combating urban heat,  Sustainable Cooling Handbook, Informative and instructive","Innovative","Local Government","Global","Global Covenant of Mayors for Climate & Energy - Led today by Michael R. Bloomberg and European Commission Executive Vice President Frans Timmermans, the Covenant comprises cities across 6 continents and 139 countries.","https://acclabplatforms.blob.core.windows.net/pads/media/image151.png"
"121","District Centralized Cooling System","In Guangzhou, China, the municipal government adopted regional centralized cooling as part of a green and environmentally friendly modern urban centre in the core area of the Pearl River New City development. 
The primary
driving energy of the main unit in the regional air cooling system is mainly come from electric power.
Some of unit is driven by heat source (steam or hot water). The local enevironmental temperature in the core area of Zhijiang New Town was reduced by 2-3 degrees celsius compared to using distributed cooling systems.","https://www.adb.org/sites/default/files/publication/222626/district-cooling-prc.pdf","11, 13","Maintenance regional centralised cooling, District energy, Energy efficiency, Environmental efficency, Improved indoor climate","Technology","Local Government","China","Government of China","https://acclabplatforms.blob.core.windows.net/pads/media/image152.png,https://acclabplatforms.blob.core.windows.net/pads/media/image153.png"
"122","Identifying and Securing Funding for Cooling Interventions","Financing resources is critical for the success of cooling interventions. There are a variety of options available for sourcing funds, including taxes, user fees, fines, penalties, official development assistance, public-private partnerships, and climate funds.","https://heatactionplatform.onebillionresilient.org/modules/fund-and-finance-heat-action/","9, 13","Providing financial resources, Promoting the cooling measures, Financial support","Innovative","Local Government","Atlanta, USA ","Adrienne Arsht-Rockefeller Foundation Resilience Center","https://acclabplatforms.blob.core.windows.net/pads/media/image154.png"
"123","Race to Zero Global Campaign","Race To Zero is a UN-backed global campaign to rally leadership and support from businesses, cities, regions, investors for a healthy, resilient, zero carbon recovery that prevents future threats, creates decent jobs, and unlocks inclusive, sustainable growth and  to take rigorous and immediate action to halve global emissions by 2030.
To help build momentum, the report highlights promotable actions through a focus on three impact areas, these include:
Passive cooling: Widespread adoption of measures that avoid or reduce the need for mechanical cooling including reducing cooling loads, smart and human centric design and urban planning
Super-efficient equipment and appliances: A ‘race to the top’ S-curve transformation where the norm is super-efficient cooling equipment and appliances powered by zero carbon energy
Ultra-low global warming potential (GWP) refrigerants and insulation foam gases: Market domination of ultra-low (<5 GWP) refrigerants across all cooling sectors and applications.
","https://climatechampions.unfccc.int/the-heat-is-on-coolings-race-to-zero/","9, 13","Promoting carbon reduction, Energy efficiency, Climate change coping strategies, Environmentally responsibility, Sustainability","Innovative","Local Government","Global","United Nations Climate Change - https://eciu.net/netzerotracker","https://acclabplatforms.blob.core.windows.net/pads/media/image155.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image156.png"
"124","Race to Resilience Campaign","The race to resilience is the UN-backed global campaign to catalyse a step-change in global ambition for climate resilience, putting people and nature first in pursuit of a resilient world where we do not just survive climate shocks and stresses, but thrive in spite of them.  The Campaign is led by the High-Level Climate Champions for climate Action.  The campaign seeks to catalyse action by non-state actors that builds resilience of 4 billion people from vulnerable groups and communities to climate risks, by 2030.","https://climatechampions.unfccc.int/what-is-the-race-to-resilience/#:~:text=The%20Race%20to%20Resilience%20is,thrive%20in%20spite%20of%20them.","9, 11, 13","Adaptation to the impacts of climate change, Resilience strategies, Coping with climate shocks, Protection of natural ecosystems","Innovative","Local Government","USA, Miami-Dade County, Greece, Athens, Sierra Leone, Freetown","United Nations Climate Change - https://eciu.net/netzerotracker","https://acclabplatforms.blob.core.windows.net/pads/media/image157.png"
"125","Extreme Heat Resilience Alliance
(EHRA)","Founded and managed by Arsht-Rock, EHRA works hand in hand with global leaders and practitioners at every level to increase heat resilience in urban areas, focusing on vulnerable populations. Experts in public health, finance, humanitarian assistance, disaster management, climate science and risk, insurance and public infrastructure, are part of the aliance that tackle the growing threat of extreme urban heat for vulnerable people. Bringing heat resilience solutions to cities worldwide.","https://onebillionresilient.org/project/extreme-heat-resilience-alliance/","3, 11
","Developing and Creating Alliances, Resilience improvement, Interdisciplinary cooperation, Healthcare, Sensitization of the consequences of heat","Innovative","Local Government","USA, Miami-Dade County, Greece, Athens, Sierra Leone, Freetown","Adrienne Arsht-Rockefeller Foundation Resilience Center","https://acclabplatforms.blob.core.windows.net/pads/media/image158.png"
"126","Naming and Ranking Heat Waves","Like other regions do tropical storms and hurricanes at COP26, Mayor Daniella Levine, Cava announced that from 2022, Miami, will establish an annual “heat season” that will run from May until October 31. In addition to helping address urban heat in Miami, Athens, Freetown and Seville, these announcements will also help to raise awareness of extreme heat as a global issue, encouraging cities to follow suit.","https://www.cleancoolingcollaborative.org/blog/cooler-cities-cooler-people-cooler-planet/","9, 13","Differentiate heat waves, Protective measures, Ranking heat waves, Sensitization to the heatwaves, Raising awareness"," Innovative","Local Government","Seville, Spaine ","Government of Spain","https://acclabplatforms.blob.core.windows.net/pads/media/image159.png"
"127","Investing in Capacity Building and Training","Among City authorities and other key actors training and capacity building is necessary for the successful development, implementation, and enforcement of urban cooling initiaves.","https://www.cleancoolingcollaborative.org/blog/cooler-cities-cooler-people-cooler-planet/","9, 13
","Training City Authorities, Sustainable Cooling Handbook for Cities, Citywide cooling action plan, Raising awareness, Strategies against extreme heat","Innovative","Local Government","Central European Cities, Singapore","UNDP","https://acclabplatforms.blob.core.windows.net/pads/media/image160.png"
"128","Improve Communication of Heat Health-Relevant Information","To improve the usefulness of the City's data tools, the city should intergrate all the heat-related data it has into one publicly accessible, centralised location that shows mapping of heat vulnerability data, locations of hospitals, tree canopy cover, and locations of green spaces and cooling amenities. This centralised website share information about how people can take action to reduce their heat vulnerability and should link more information about City and State Cooling programs, such as the public cooling centrers and the LIHEAP Cooling assistance program. This centralised website should also be a user-friendly tool that provides neighborhood specific and street-level information.","https://www.c40knowledgehub.org/s/article/How-to-adapt-your-city-to-extreme-heat?language=en_US","3, 9, 11","Improve data tools of the city, Clarification about risks, Transparency, Providing user-friendly too","Innovative","Local Government","USA, New Orleans, New York City, Houston, San Francisco, Newark, Canada, Toronto","US EPA - To inform improvements in heat risk communications and other public health measures, NYC’s Office of Emergency Management conducted quantitative and qualitative studies about heat-health awareness and behaviors. First, a telephone survey of a probability sample of NYC adults was administered to examine AC access, heat-illness prevention behaviors, and awareness of heat-health warnings. Next, NYC’s Office of Emergency Management convened focus groups to elicit qualitative information about heat-health knowledge and behaviors among seniors, who are among the most vulnerable to heat illness and death, and potential senior caregivers.
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074319/","https://acclabplatforms.blob.core.windows.net/pads/media/image161.png"
"129","Update collection and Analysis of Heat Health data","In line with what community groups have asked for, the city should update the heat-related mortality data it uses and expand the indicators it uses to measure heat-related mortality and heat vulnerability. The City should also reassess what varibales it uses to create a heat index by considering other data sources for temperature and the built environment, such as humidity and building material type. This will help improve the accuracy and specificity of the heat Vulnerability Index tool and allow the city and researchers to make program and funding decisions that better target heat-vulnerable communities.","https://news.climate.columbia.edu/2021/09/27/nyc-vulnerable-communities-summer-extreme-heat/","9, 11, 13","Recording heat related illnesses and mortality, Moderate the urban heat island effect, Combating climate crisis, Help vulnerable communities survive summer heat","Innovative","Local Government","USA, New York","WE ACT for Environmental Justice - The team is made up of researchers from the Earth Institute at Columbia University and experts from the environmental justice group WE ACT.","https://acclabplatforms.blob.core.windows.net/pads/media/image162.png"
"130","Evaluate the Effectiveness of Government Climate Resiliency","Government Policies and tools for climate resiliency for example in targeting New York City's most heat vulnerable communities can be evaluated for efectiveness. A systematic and comprehensive review of the City's  Heat Vulnerability Index tool and cooling programs is needed in order to determine how effective they are in reducing heat vulnerability and targeting cities most vulnerable communities.","https://www.google.com/url?q=https%3A%2F%2Fwww.epa.gov%2Farc-x%2Fnew-york-city-adapts-deal-projected-increase-heat-waves%23%3A~%3Atext%3DIn%2520order%2520to%2520adapt%2520to%2Cfuture%2520projected%2520extreme%2520heat%2520events&sa=D&sntz=1&usg=AOvVaw2iUmItUFB3vDBY6gQEqiM4","9, 11, 13","Policies and tools, Climate resilience, Adaptation action at the local level, Intense climate change impacts","Innovative","Local Government","USA, New York","US EPA","https://acclabplatforms.blob.core.windows.net/pads/media/image163.png"
"131","Scale up Heat Mitigation and Resiliency Programs","Heat Programs can be scaled up from short to long-term adaptive capacity to respond to extreme heat. Advocate have long been asking the City and State to provide more interventions and funding to support community preparedness and address air conditioning accesss and infrastrure isssues that contribute to higher heat vulnerability for low-income communities of colour. The city can direct funds from sources such as the American Jobs Plan.","https://heatactionplatform.onebillionresilient.org/modules/explore-heat-adaptation-solutions/","9, 11, 13","Categorising heat programs, Including heat policy, Financial support for the communities, Heat adaptation and preparedness measures","Innovative","Local Government","USA, Germany, UK, Switzerland, Canada, France, Japan, Australia, South Korea, Norway, Luxembourg, Netherlands, Italy, Sweden, Denmark","Atlantic Council","https://acclabplatforms.blob.core.windows.net/pads/media/image164.png"
"132","Employ Legal Mechanisms to prioritize protecting heat vulnerable communities","Policies such as the proposed City Council bills which codifies the Citys cooling center program and the City Council law 1960-2022 in New York City, and which requires the city to submit a heat plan each year, need to be implemented with a core equity focus in order to allocate permanent resources and institutionalize these crucial-life saving programs.","https://news.climate.columbia.edu/2021/09/27/nyc-vulnerable-communities-summer-extreme-heat/","9, 11, 13","Proposing City Council Bills, Creating heat plans, Improve communication of heat information, life-saving programs, Strategies to cool down urban heat islands","Innovative","Local Government","USA, New York","Government of New York","https://acclabplatforms.blob.core.windows.net/pads/media/image165.png"
"133","Car Free Zones","A major contributor to heat emissions within a city are cars and vehicles. One way to address this is planners designate areas within a city as car-free-zones. These areas are then only accessible by public transport, foot or bicycle, reducing emissions of heat, pollutants and greenhouse gases. Bus lanes can also be incoporated into a citys design, to encourage more use of public transport.","https://www.lonelyplanet.com/morocco/the-mediterranean-coast-and-the-rif/fes/attractions/fez-medina/a/poi-sig/1631453/355510","13","Designate Car-Free-Zones, Increasing the use of public transport, Reduction of heat and CO2 emission","Infrastructural","Local Government","Morocco, Fes el Bali","Government of Morocco - The largest car-free urban area in the world","https://acclabplatforms.blob.core.windows.net/pads/media/image166.png"
"134","Changing Hospital Layout","Hospitals need to prepare for a large influx of patients during heat events, which exceed typical daily admission rates. Thye may also have to change their layouts so that those patients most threatened by heat are accomodated in coolerparts of the building. For example, in a hospital in Ahmedabad, India, the maternity ward was on the fourth and reportedly, hottest floor. After a heatwave in May 2021, the ward was relocated to the ground floor where it is much cooler. Analysis of this shift indicates that it had  a protective effect with fewer heat-related admission to the neonatal intensive care unit.","https://www.hfmmagazine.com/articles/4377-hospitals-prepare-for-the-effects-of-extreme-heat","9, 11","Hospital Preparations, Preparation for extreme heat, Maintenance of power supply","Innovative","Local Government","USA, Arizona","Carondelet Health Network - In a state like Arizona, a large hospital group consisting of several hospitals can split the cost of having equipment on the ready. 
Arrange contract service agreements with the regional utility provider for all the hospitals oversees. For the facilities, regional utility provide can electively switch to generator mode to mitigate brownouts until the grid is stabilized. Such an arrangement ultimately benefits the health care system, the community served and the utility provider. In doing so, we remove some load from the grid and this helps the provider sustain the electrical network and keep everyone’s air conditioners on.","https://acclabplatforms.blob.core.windows.net/pads/media/image167.png"
"135","Operate a Telephone Helpline during exterme heat","By operating a telephone helpline this can help provide guidance during heatwave, setup a dedicate telephone service that is opened for the heatwave with a well publicized phone number, or use pre-existing general health advice helpline.","https://www.betterhealth.vic.gov.au/health/healthyliving/how-to-cope-and-stay-safe-in-extreme-heat","11","Operating helpline telephone, Coping with extreme heat","Innovative","Local Government","Australia, Victoria","Better Health Channel","https://acclabplatforms.blob.core.windows.net/pads/media/image168.png"
"136","Keep Electicity and Water Services on despite Non-Payment","Encouraging utility companies to work with city officials to support heatwave risk reduction by keeping water and electricity services running despite non-payment is important, especially, in areas that rely on air-conditioning during a heat wave.","https://elliottequip.com/additional-utility-generation-needed-during-heat-waves/","9, 11","Supporting heatwave Risk Reduction, Financial support, Ensuring the energy supply","Innovative","Local Government","USA, Europe","Government - The paper is summarising the procedures in place in EurEau (European federation of national associations of water services) members’ countries:
https://www.eureau.org/resources/position-papers/137-access-to-water-and-measures-in-case-of-non-payment-august2016/file ","https://acclabplatforms.blob.core.windows.net/pads/media/image169.png,https://acclabplatforms.blob.core.windows.net/pads/media/image170.png"
